省,市,区,全名,别名,电话,地址
山东省,济南市,历城区(35),济南牛皮癣医院,山东济南看银屑病医院_济南牛皮癣治疗医院,联系电话：0531-82390100,山东省济南市历下区和平路53号
山东省,济南市,天桥区(35),济南白癜风医院,山东济南白癜风医院 济南白癜风专科医院 济南白癜风,联系电话：400-691-3999,济南市天桥区堤口路143号(地铁2号线益康路站B出口)
山东省,济南市,历城区(35),济南银屑病医院,山东济南银屑病医院_济南市牛皮癣医院专科,联系电话：0536-3087125,山东省潍坊市奎文区北宫东街268号
山东省,青岛市,市南区(51),青岛市北银康医院,青岛专业治白癜风医院-「青岛白癜风医院」,联系电话：0532-86698888,山东省青岛市市北区镇江路13号
山东省,烟台市,芝罘区(36),烟台半岛白癜风研究院,烟台专业治白癜风医院-「烟台白癜风医院」怎么样-威海哪里有白癜风专科医院,联系电话：0535-6203592,18753535580（诊室微信）山东省烟台市芝罘区胜利路304号
河南省,郑州市,二七区(37),郑州西京白癜风医院,郑州白癜风医院_郑州治疗白癜风专业医院,联系电话：0371-63363346,18339905623（医院微信）
河南省,郑州市,二七区(37),郑州痛风风湿病医院,郑州痛风医院,亚太痛风联盟分中心,郑州类风湿医院,联系电话：0371-55133028,郑州市二七区大学南路96号
河南省,鹤壁市,淇县(6),河南誉美肾病医院,原淇县同济肾病专科医院,联系电话：400-6591-900,河南省淇县同济大道1号
湖南省,长沙市,芙蓉区(42),长沙中研白癜风医院,湖南长沙白癜风医院_长沙白癜风专科医院,联系电话：0731-85130138,长沙市芙蓉区人民中路817号（杨家山立交桥桥西）高桥建材市场对面
黑龙江省,哈尔滨市,南岗区(95),哈尔滨盛京白癜风医学研究院,黑龙江盛京皮肤病医院/哈尔滨白癜风医院/哈尔滨治疗白癜风医院,联系电话：400-678-8596,哈尔滨市南岗区宣化街205号（龙运大厦对面）
黑龙江省,哈尔滨市,南岗区(95),哈尔滨强直风湿医院,哈尔滨痛风医院,亚太痛风联盟分中心,联系电话：0451-51159595,黑龙江省哈尔滨市南岗区黄河路140号B栋
陕西省,西安市,新城区(73),西安仁爱白癜风医院,西安治疗白癜风专科医院_陕西西安看白癜风医院哪家好,联系电话：400-602-9688,西安市新城区长缨西路408-1号
甘肃省,兰州市,城关区(71),兰州中医白癜风医院,兰州白癜风医院 兰州白癜风专科医院 兰州中医白癜风,联系电话：0931-5107700,兰州市火车站西路海天新都89号(火车站向西100米)
四川省,成都市,青羊区(108),成都银康银屑病医院,四川治疗银屑病医院_成都牛皮癣专科医院_四川成都银屑病医院挂号,联系电话：400-1881-130,四川省成都市青羊区锦里中路18号
四川省,成都市,武侯区(103),成都白癜风专科医院,成都博润白癜风医院_四川治疗白斑好的医院,联系电话：400-005-7879,成都市武侯区佳灵路6号（红牌楼家乐福斜对面）
四川省,成都市,武侯区(103),成都博润白癜风医院,四川成都白癜风医院_成都白癜风专科医院,联系电话：400-005-7879,成都市武侯区佳灵路6号（红牌楼家乐福斜对面）
四川省,成都市,武侯区(103),成都西部白癜风医院,成都白癜风医院 成都白癜风专科医院,联系电话：028-87788834,成都市武侯区一环路南四段2号(西南民族大学附近)
四川省,成都市,青羊区(108),成都曙光医院,成都曙光男科医院 成都男科医院 成都曙光医院,联系电话：028-87799345,成都青羊区青羊横街15号
四川省,成都市,青羊区(108),成都风湿医院,成都西部痛风研究院_成都类风湿医院,联系电话：028-86117707,四川省成都市青羊区二环路西二段121号（成温立交往北500米）
贵州省,贵阳市,南明区(65),贵阳脑癫医院,贵州贵阳癫痫病医院_贵阳癫痫病治疗专科医院,联系电话：0851-85599997,贵州省贵阳市南明区沙冲南路87号-19
贵州省,贵阳市,南明区(65),贵阳强直医院,贵阳中医风湿病医院,亚太痛风联盟分中心,贵阳痛风医院,联系电话：0851-85505541,贵阳市南明区油榨街281号
云南省,昆明市,盘龙区(64),昆明白癜风医院,云南昆明白癜风医院_昆明白癜风专科医院,联系电话：0871-64174769,云南省昆明市五华区护国路2号
云南省,昆明市,西山区(60),昆明复美白癜风门诊部,昆明白癜风医院地址_昆明白癜风治疗医院,联系电话：400-995-5805,云南省昆明市西山区西园路235号(昆明白癜风医院)
